source	target	interaction	eregulons	importance	rho
TF:BCL11A	region:chr10:48634242-48634742	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr10:96273297-96273797	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr12:103441463-103441963	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr12:110605593-110606093	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr12:110661328-110661828	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr12:110677404-110677904	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr14:105861937-105862437	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr19:17523127-17523627	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr19:17526950-17527450	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr19:42129324-42129824	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:100113996-100114496	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:100142369-100142869	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:100247477-100247977	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:60317805-60318305	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:60350837-60351337	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr3:4984030-4984530	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr5:88732198-88732698	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr5:88827114-88827614	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:32437334-32437834	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:32439566-32440066	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:32584026-32584526	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:32944332-32944832	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:33027788-33028288	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:33073455-33073955	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:33114299-33114799	tf_binds_region	BCL11A_direct_+/+		
