tf	target	region	eregulon	gene_signature	region_signature	is_extended	regulation	importance_tf2g	rho_tf2g	importance_r2g	rho_r2g	triplet_rank	evidence_type
ATF3	CDC42EP1	chr22:37561016-37561516	ATF3_direct_+/+	ATF3_direct_+/+_(4g)	ATF3_direct_+/+_(4r)	False	1	4.091575654438224	0.1353139354823296	0.0076172748751643	0.068369643319384	79	scenicplus_eregulon_direct
ATF3	SELENOO	chr22:50089608-50090108	ATF3_direct_+/+	ATF3_direct_+/+_(4g)	ATF3_direct_+/+_(4r)	False	1	0.9630680274218056	0.1468126929697087	0.0124990268863936	0.1415179786853904	135	scenicplus_eregulon_direct
ATF3	TOM1	chr22:35380794-35381294	ATF3_direct_+/+	ATF3_direct_+/+_(4g)	ATF3_direct_+/+_(4r)	False	1	1.003889968898495	0.3733042469195653	0.0140371106415032	0.4567273041009012	69	scenicplus_eregulon_direct
ATF3	BACH1	chr21:29299854-29300354	ATF3_direct_+/+	ATF3_direct_+/+_(4g)	ATF3_direct_+/+_(4r)	False	1	2.5862812795194223	0.4142793953707628	0.0135341142913764	0.607470887074498	52	scenicplus_eregulon_direct
BACH1	PPM1F	chr22:21942348-21942848	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.6420501039843405	0.3127032460920282	0.0493866856981437	0.346033265992497	37	scenicplus_eregulon_direct
BACH1	NFAM1	chr22:42322515-42323015	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.7961867163371534	0.4022175190341568	0.0024489925995668	0.4485770828081613	47	scenicplus_eregulon_direct
BACH1	CYTH4	chr22:37274487-37274987	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.0666743585741445	0.1822551540643094	0.0134924768424544	0.1878446603065552	195	scenicplus_eregulon_direct
BACH1	GRIK1	chr21:29639994-29640494	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	4.817806741841378	0.2644346044299329	0.0241380680873994	0.1838385237624066	7	scenicplus_eregulon_direct
BACH1	MTMR3	chr22:29799147-29799647	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	2.1470917282613584	0.2795737326054605	0.0081526258044086	0.2889370149746092	107	scenicplus_eregulon_direct
BACH1	SCO2	chr22:50399845-50400345	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.8615163805190904	0.4359746866989895	0.0195336079823624	0.498195989960713	155	scenicplus_eregulon_direct
BACH1	TOM1	chr22:35371940-35372440	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.1028340561159509	0.3803944881446125	0.0044566871849866	0.4400585317561362	24	scenicplus_eregulon_direct
BACH1	IL10RB	chr21:33300872-33301372	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	2.0530914919046954	0.2353400347992469	0.0017482604893819	0.211604917395625	133	scenicplus_eregulon_direct
BACH1	AGPAT3	chr21:43767983-43768483	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	2.179399419963844	0.3047483361052676	0.0041414713139887	0.3725532873343565	99	scenicplus_eregulon_direct
BACH1	TOM1	chr22:35380794-35381294	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.1028340561159509	0.3803944881446125	0.0140371106415032	0.4567273041009012	124	scenicplus_eregulon_direct
BACH1	PDXK	chr21:43767983-43768483	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	2.3774555104168007	0.1907491388465412	0.0077992421290974	0.1919445643247888	67	scenicplus_eregulon_direct
BACH1	TOM1	chr22:35376871-35377371	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.1028340561159509	0.3803944881446125	0.0210347825241398	0.44854655107916	15	scenicplus_eregulon_direct
BACH1	BACH1	chr21:29639994-29640494	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	5.385691107513015	1.0	0.026068786955584	0.6052097805333296	4	scenicplus_eregulon_direct
BACH1	MRTFA	chr22:40628541-40629041	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	3.566573174516226	0.2632817945238291	0.0265672265420961	0.2317110313456589	74	scenicplus_eregulon_direct
BACH1	IFNGR2	chr21:33300872-33301372	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.4094504472320772	0.3042677509791956	0.0190757521914785	0.3862586486497357	60	scenicplus_eregulon_direct
BACH1	ITSN1	chr21:33761658-33762158	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.481254643664942	0.3065550218356013	0.0100551419907843	0.355270918009712	142	scenicplus_eregulon_direct
BACH1	ODF3B	chr22:50540853-50541353	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.885501612575461	0.2907857728242668	0.0116565541477432	0.3448329845596566	161	scenicplus_eregulon_direct
BACH1	PACSIN2	chr22:42873251-42873751	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	2.0606834740222224	0.2428843265762525	0.0039876692113523	0.2387516162739941	226	scenicplus_eregulon_direct
BACH1	PACSIN2	chr22:42937410-42937910	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	2.0606834740222224	0.2428843265762525	0.0296085721828407	0.2496128150816461	46	scenicplus_eregulon_direct
BACH1	SCO2	chr22:50534950-50535450	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.8615163805190904	0.4359746866989895	0.0239011805116103	0.4950846171579305	179	scenicplus_eregulon_direct
BACH1	TBC1D22A	chr22:46854089-46854589	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.1986966025943515	0.2416750466290194	0.0050409304576335	0.2475251857207795	167	scenicplus_eregulon_direct
BACH1	TYMP	chr22:50542432-50542932	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	5.385681107513015	0.5750303878662125	0.0937240906171961	0.7122263612236928	2	scenicplus_eregulon_direct
BACH1	ITGB2	chr21:44968024-44968524	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.3104256383416553	0.2203986122127773	0.0126508191582497	0.2399376116413997	122	scenicplus_eregulon_direct
BACH1	TOM1	chr22:35330106-35330606	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.1028340561159509	0.3803944881446125	0.0081040616586273	0.4467939924430503	224	scenicplus_eregulon_direct
BACH1	GGA1	chr22:37731759-37732259	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.2305081864479352	0.1145465979140741	0.0132447925898162	0.0997953647419307	236	scenicplus_eregulon_direct
BACH1	MAPK1	chr22:21607347-21607847	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.3397376097330518	0.2476505917059761	0.0033736645068552	0.2618189371126418	189	scenicplus_eregulon_direct
BACH1	TOM1	chr22:35356304-35356804	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.1028340561159509	0.3803944881446125	0.0453582663259293	0.4456500861111354	68	scenicplus_eregulon_direct
BACH1	GRK3	chr22:25563683-25564183	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	2.5068841978012824	0.5613988686121506	0.0497306443261829	0.7080385046567866	32	scenicplus_eregulon_direct
BACH1	MAP3K7CL	chr21:29196278-29196778	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.0591404380232934	0.1263333093023719	0.021480086847507	0.1304377834381601	207	scenicplus_eregulon_direct
BACH1	PAXBP1	chr21:32728769-32729269	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.6354655057040066	0.159370382434511	0.0189529497833565	0.140692307909779	84	scenicplus_eregulon_direct
BACH1	PLXNB2	chr22:50169907-50170407	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	2.465896634615436	0.3429073053402398	0.0185690656093272	0.4025616154145646	26	scenicplus_eregulon_direct
BACH1	MRTFA	chr22:40509621-40510121	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	3.566573174516226	0.2632817945238291	0.008740397622145	0.2414131511882565	200	scenicplus_eregulon_direct
BACH1	USP25	chr21:15682937-15683437	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.0432467676561676	0.316919623848211	0.0293986385720273	0.3489498084379339	191	scenicplus_eregulon_direct
BACH1	BID	chr22:17781619-17782119	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.8644497294544384	0.2599130360768963	0.0400289696660043	0.2904868668831978	22	scenicplus_eregulon_direct
BACH1	SAMSN1	chr21:14548701-14549201	BACH1_direct_+/+	BACH1_direct_+/+_(34g)	BACH1_direct_+/+_(52r)	False	1	1.3631497788667626	0.2549180119329743	0.0277777607968691	0.2423992017604171	92	scenicplus_eregulon_direct
