id	label	node_type	eregulons	detected_fraction	n_targets
TF:BACH2	BACH2	tf	BACH2_direct_+/-	0.9797979797979735	20
TF:KLF6	KLF6	tf	KLF6_direct_-/-	0.2853535353535351	14
TF:LEF1	LEF1	tf	LEF1_direct_+/+	0.9646464646464585	20
TF:TBX21	TBX21	tf	TBX21_direct_-/+	0.007575757575757576	20
TF:TCF7	TCF7	tf	TCF7_direct_+/+	0.8207070707070668	20
region:chr10:119596581-119597081	chr10:119596581-119597081	region	BACH2_direct_+/-		1
region:chr11:14768571-14769071	chr11:14768571-14769071	region	LEF1_direct_+/+		1
region:chr11:62621924-62622424	chr11:62621924-62622424	region	BACH2_direct_+/-		1
region:chr11:62640664-62641164	chr11:62640664-62641164	region	TBX21_direct_-/+		1
region:chr11:85664868-85665368	chr11:85664868-85665368	region	BACH2_direct_+/-		1
region:chr11:96016106-96016606	chr11:96016106-96016606	region	LEF1_direct_+/+;TCF7_direct_+/+		1
region:chr11:96105556-96106056	chr11:96105556-96106056	region	LEF1_direct_+/+;TCF7_direct_+/+		1
region:chr11:96278465-96278965	chr11:96278465-96278965	region	LEF1_direct_+/+		1
region:chr12:21676728-21677228	chr12:21676728-21677228	region	TCF7_direct_+/+		1
region:chr12:31728851-31729351	chr12:31728851-31729351	region	BACH2_direct_+/-		1
region:chr13:40485585-40486085	chr13:40485585-40486085	region	TBX21_direct_-/+		1
region:chr13:40666957-40667457	chr13:40666957-40667457	region	KLF6_direct_-/-		1
region:chr14:68793068-68793568	chr14:68793068-68793568	region	BACH2_direct_+/-		1
region:chr15:28876162-28876662	chr15:28876162-28876662	region	LEF1_direct_+/+;TCF7_direct_+/+		1
region:chr15:28890755-28891255	chr15:28890755-28891255	region	LEF1_direct_+/+		1
region:chr15:34366186-34366686	chr15:34366186-34366686	region	KLF6_direct_-/-		1
region:chr15:90388536-90389036	chr15:90388536-90389036	region	KLF6_direct_-/-		1
region:chr15:93028563-93029063	chr15:93028563-93029063	region	BACH2_direct_+/-		1
region:chr15:98649378-98649878	chr15:98649378-98649878	region	LEF1_direct_+/+		1
region:chr15:98650993-98651493	chr15:98650993-98651493	region	LEF1_direct_+/+		1
region:chr16:27367453-27367953	chr16:27367453-27367953	region	BACH2_direct_+/-		1
region:chr17:40480463-40480963	chr17:40480463-40480963	region	KLF6_direct_-/-		1
region:chr17:40533368-40533868	chr17:40533368-40533868	region	LEF1_direct_+/+		1
region:chr17:40547342-40547842	chr17:40547342-40547842	region	LEF1_direct_+/+;TCF7_direct_+/+		1
region:chr17:40560776-40561276	chr17:40560776-40561276	region	BACH2_direct_+/-		1
region:chr17:40564225-40564725	chr17:40564225-40564725	region	KLF6_direct_-/-		1
region:chr17:40597110-40597610	chr17:40597110-40597610	region	LEF1_direct_+/+		1
region:chr17:40605390-40605890	chr17:40605390-40605890	region	TBX21_direct_-/+		1
region:chr17:66201735-66202235	chr17:66201735-66202235	region	TBX21_direct_-/+		1
region:chr17:66285870-66286370	chr17:66285870-66286370	region	TBX21_direct_-/+		1
