source	target	interaction	eregulons	importance	rho
TF:KLF4	region:chr10:20202238-20202738	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr11:63871967-63872467	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr12:123432529-123433029	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr12:66187788-66188288	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr14:75268800-75269300	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr17:59847694-59848194	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr19:54209701-54210201	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr1:157106202-157106702	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr1:212752535-212753035	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr20:41003387-41003887	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr20:41047885-41048385	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr2:40455516-40456016	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr3:187773186-187773686	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr3:38009948-38010448	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr4:152643399-152643899	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr4:152663052-152663552	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr4:153661361-153661861	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr6:144150134-144150634	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr7:106344765-106345265	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr7:139828939-139829439	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr7:139830959-139831459	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr8:115451426-115451926	tf_binds_region	KLF4_direct_+/+		
TF:KLF4	region:chr8:89759076-89759576	tf_binds_region	KLF4_direct_+/+		
TF:RXRA	region:chr11:10400860-10401360	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr12:51242065-51242565	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr12:51246225-51246725	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr14:100375224-100375724	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr14:92677190-92677690	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr14:92680997-92681497	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr16:17259248-17259748	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr16:17343666-17344166	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr16:17416566-17417066	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr17:21285899-21286399	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr17:78778872-78779372	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr19:54208068-54208568	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr1:248804914-248805414	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr1:248807058-248807558	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr1:248838078-248838578	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr1:88983814-88984314	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr20:32040126-32040626	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr20:32051198-32051698	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr20:32062761-32063261	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr20:32111726-32112226	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr20:32112818-32113318	tf_binds_region	RXRA_direct_+/+		
TF:RXRA	region:chr20:40571724-40572224	tf_binds_region	RXRA_direct_+/+		
