source	target	interaction	eregulons	importance	rho
TF:FOXO1	region:chr10:69048025-69048525	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr10:69088816-69089316	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr12:6534964-6535464	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr12:6557952-6558452	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr12:6606216-6606716	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr13:23980053-23980553	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr14:105398280-105398780	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr17:80471870-80472370	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr19:1174041-1174541	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr19:1259152-1259652	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr19:1265749-1266249	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:161013564-161014064	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:161069702-161070202	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:161185241-161185741	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:161209741-161210241	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:161216834-161217334	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:161217714-161218214	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:223716505-223717005	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:26169620-26170120	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:26278839-26279339	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:26314281-26314781	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr1:39995924-39996424	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr5:141682960-141683460	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr5:177300228-177300728	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr5:177307861-177308361	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr5:179914050-179914550	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr6:29748850-29749350	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr6:29752970-29753470	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr6:31592814-31593314	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr6:31727402-31727902	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr6:31734750-31735250	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr6:31736111-31736611	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr6:32845277-32845777	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr6:32969091-32969591	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chr9:36150820-36151320	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chrX:153829965-153830465	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chrX:153934783-153935283	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chrX:65601463-65601963	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chrX:65723646-65724146	tf_binds_region	FOXO1_direct_-/+		
TF:FOXO1	region:chrX:65750607-65751107	tf_binds_region	FOXO1_direct_-/+		
TF:LEF1	region:chr13:46160431-46160931	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr15:60548003-60548503	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr15:90539753-90540253	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr16:85448740-85449240	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr16:88681670-88682170	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr19:45406258-45406758	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr19:45558317-45558817	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr19:8610433-8610933	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr1:21294425-21294925	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr2:201158014-201158514	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr2:201191512-201192012	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr2:230415943-230416443	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr2:233251341-233251841	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr3:18438475-18438975	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr3:188788513-188789013	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr5:100904535-100905035	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr5:1315610-1316110	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr5:96703125-96703625	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr5:96875670-96876170	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr6:16483463-16483963	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr7:27739878-27740378	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr7:45110635-45111135	tf_binds_region	LEF1_direct_-/-		
TF:LEF1	region:chr7:77354452-77354952	tf_binds_region	LEF1_direct_-/-		
TF:RUNX3	region:chr11:65928016-65928516	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr12:10279843-10280343	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr12:10285887-10286387	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr12:10288957-10289457	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr12:10389912-10390412	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr12:10392305-10392805	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr12:10394470-10394970	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr12:10395348-10395848	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr12:10497537-10498037	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr12:10499196-10499696	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr16:11556890-11557390	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr16:11572188-11572688	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr16:30186707-30187207	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr16:87754523-87755023	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr16:87762124-87762624	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr16:87865795-87866295	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr17:35890652-35891152	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr17:35896221-35896721	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr17:35900216-35900716	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr17:75435885-75436385	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr17:75535010-75535510	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr19:543724-544224	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr19:575182-575682	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr1:162400722-162401222	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr1:162548132-162548632	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr1:24914103-24914603	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr1:25099653-25100153	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr1:40186400-40186900	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr22:37164107-37164607	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr22:37229952-37230452	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr22:37279385-37279885	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr22:37306919-37307419	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr22:44620021-44620521	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr22:44685364-44685864	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr22:44710434-44710934	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr2:86785374-86785874	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr2:86788812-86789312	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr2:86793713-86794213	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr2:98465673-98466173	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr2:98508621-98509121	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr2:98634514-98635014	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr2:98656698-98657198	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr6:33322006-33322506	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr7:5643268-5643768	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr7:5656110-5656610	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr9:114385560-114386060	tf_binds_region	RUNX3_direct_+/+		
TF:RUNX3	region:chr9:133374608-133375108	tf_binds_region	RUNX3_direct_+/+		
TF:TBX21	region:chr10:17509071-17509571	tf_binds_region	TBX21_direct_+/+		
TF:TBX21	region:chr10:17511283-17511783	tf_binds_region	TBX21_direct_+/+		
TF:TBX21	region:chr12:10389912-10390412	tf_binds_region	TBX21_direct_+/+		
