source	target	interaction	eregulons	importance	rho
TF:BCL11A	region:chr10:48634242-48634742	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr10:48802488-48802988	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr10:96211892-96212392	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr10:96229458-96229958	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr10:96273297-96273797	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr11:60310753-60311253	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr11:60396702-60397202	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr11:60455452-60455952	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr11:60482324-60482824	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr11:60528911-60529411	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr17:63922341-63922841	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr17:63925517-63926017	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr17:63954302-63954802	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr19:17523127-17523627	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr19:17526950-17527450	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr19:35458879-35459379	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr1:157704709-157705209	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr1:157806725-157807225	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr1:157819885-157820385	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr1:178575738-178576238	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:100113996-100114496	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:100142369-100142869	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:100235049-100235549	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:100247477-100247977	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:60317805-60318305	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr2:60350837-60351337	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr3:31952157-31952657	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr4:101790443-101790943	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr4:101862508-101863008	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr4:25904297-25904797	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr5:158676611-158677111	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr5:158953893-158954393	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr5:159155921-159156421	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr5:88732198-88732698	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr5:88827114-88827614	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:150599580-150600080	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:150622895-150623395	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:150631507-150632007	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:150641318-150641818	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:150689986-150690486	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:150765331-150765831	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:32584026-32584526	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr6:32638500-32639000	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr8:11491859-11492359	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr8:24297755-24298255	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr8:24330388-24330888	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr9:36993820-36994320	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr9:37004430-37004930	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr9:37028948-37029448	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr9:37032645-37033145	tf_binds_region	BCL11A_direct_+/+		
TF:BCL11A	region:chr9:37034102-37034602	tf_binds_region	BCL11A_direct_+/+		
TF:POU2AF1	region:chr10:48672264-48672764	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr11:72738078-72738578	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr12:26156176-26156676	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr15:70036555-70037055	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr15:70196558-70197058	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr17:63932152-63932652	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr19:16259776-16260276	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr19:16445337-16445837	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr19:2486081-2486581	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr19:35330437-35330937	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr1:157726745-157727245	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr1:159068150-159068650	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr1:160432329-160432829	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr1:175225417-175225917	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr1:178581260-178581760	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr3:31917208-31917708	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr4:90071723-90072223	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr5:10632135-10632635	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr5:158958206-158958706	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr8:11491859-11492359	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr8:11538925-11539425	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr8:94978851-94979351	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr8:95073054-95073554	tf_binds_region	POU2AF1_direct_+/+		
TF:POU2AF1	region:chr9:37004430-37004930	tf_binds_region	POU2AF1_direct_+/+		
TF:SPIB	region:chr12:31362987-31363487	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr12:31687059-31687559	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr12:79689927-79690427	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr12:9731705-9732205	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr12:9761300-9761800	tf_binds_region	SPIB_direct_+/-		
TF:SPIB	region:chr12:9764703-9765203	tf_binds_region	SPIB_direct_+/-		
TF:SPIB	region:chr12:9810621-9811121	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr16:28923935-28924435	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr16:28930696-28931196	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr19:50330707-50331207	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr19:50415547-50416047	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr19:50419633-50420133	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr19:50430957-50431457	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:157773806-157774306	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:157803787-157804287	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:157806725-157807225	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:157819885-157820385	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:157849453-157849953	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:161706840-161707340	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:161738889-161739389	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:161739807-161740307	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:178575738-178576238	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:178579558-178580058	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr1:178726143-178726643	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr22:24401124-24401624	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr22:24555590-24556090	tf_binds_region	SPIB_direct_+/-		
TF:SPIB	region:chr22:24607341-24607841	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr22:41925347-41925847	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr22:41952036-41952536	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr22:42022400-42022900	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr2:100113996-100114496	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr2:100142369-100142869	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr2:100235049-100235549	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr2:100247477-100247977	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr2:17749778-17750278	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr2:17804382-17804882	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr2:99928403-99928903	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr3:129282639-129283139	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr3:129305616-129306116	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr3:129439391-129439891	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr3:129526046-129526546	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr3:129577917-129578417	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr3:31952157-31952657	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr4:101790443-101790943	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr4:101813555-101814055	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr4:101862508-101863008	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr5:158676611-158677111	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr5:158958206-158958706	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr5:159052414-159052914	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr5:159083959-159084459	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr5:159155921-159156421	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr7:90595549-90596049	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr7:90596243-90596743	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr7:90600139-90600639	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr7:90709710-90710210	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr9:37004430-37004930	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr9:37028948-37029448	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr9:37034102-37034602	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr9:37034641-37035141	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr9:37120183-37120683	tf_binds_region	SPIB_direct_+/-		
TF:SPIB	region:chr9:68643733-68644233	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr9:68704944-68705444	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr9:68708382-68708882	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr9:68919535-68920035	tf_binds_region	SPIB_direct_+/+		
TF:SPIB	region:chr9:69121913-69122413	tf_binds_region	SPIB_direct_+/+		
region:chr10:48634242-48634742	gene:WDFY4	region_regulates_gene	BCL11A_direct_+/+	0.0229066492571357	0.4987632376366196
