id	label	node_type	eregulons	detected_fraction	n_targets
TF:FOXO1	FOXO1	tf	FOXO1_direct_-/+	0.29129129129129067	20
TF:LEF1	LEF1	tf	LEF1_direct_-/-	0.1531531531531531	20
TF:RUNX3	RUNX3	tf	RUNX3_direct_+/+	0.7387387387387407	20
TF:TBX21	TBX21	tf	TBX21_direct_+/+	0.3423423423423415	20
TF:TCF7	TCF7	tf	TCF7_direct_-/-	0.2792792792792787	20
region:chr10:17509071-17509571	chr10:17509071-17509571	region	TBX21_direct_+/+		1
region:chr10:17511283-17511783	chr10:17511283-17511783	region	TBX21_direct_+/+		1
region:chr10:69048025-69048525	chr10:69048025-69048525	region	FOXO1_direct_-/+		1
region:chr10:69088816-69089316	chr10:69088816-69089316	region	FOXO1_direct_-/+		1
region:chr11:128716901-128717401	chr11:128716901-128717401	region	TCF7_direct_-/-		1
region:chr11:128729135-128729635	chr11:128729135-128729635	region	TCF7_direct_-/-		1
region:chr11:1845435-1845935	chr11:1845435-1845935	region	TCF7_direct_-/-		2
region:chr11:3014285-3014785	chr11:3014285-3014785	region	TCF7_direct_-/-		1
region:chr11:65928016-65928516	chr11:65928016-65928516	region	RUNX3_direct_+/+		1
region:chr12:10279843-10280343	chr12:10279843-10280343	region	RUNX3_direct_+/+		1
region:chr12:10285887-10286387	chr12:10285887-10286387	region	RUNX3_direct_+/+		1
region:chr12:10288957-10289457	chr12:10288957-10289457	region	RUNX3_direct_+/+		1
region:chr12:10389912-10390412	chr12:10389912-10390412	region	RUNX3_direct_+/+;TBX21_direct_+/+		1
region:chr12:10392305-10392805	chr12:10392305-10392805	region	RUNX3_direct_+/+		1
region:chr12:10394470-10394970	chr12:10394470-10394970	region	RUNX3_direct_+/+		2
region:chr12:10395348-10395848	chr12:10395348-10395848	region	RUNX3_direct_+/+		2
region:chr12:10411199-10411699	chr12:10411199-10411699	region	TBX21_direct_+/+		1
region:chr12:10497537-10498037	chr12:10497537-10498037	region	RUNX3_direct_+/+;TBX21_direct_+/+		2
region:chr12:10499196-10499696	chr12:10499196-10499696	region	RUNX3_direct_+/+;TBX21_direct_+/+		1
region:chr12:128794584-128795084	chr12:128794584-128795084	region	TBX21_direct_+/+		1
region:chr12:128796317-128796817	chr12:128796317-128796817	region	TBX21_direct_+/+		1
region:chr12:128810103-128810603	chr12:128810103-128810603	region	TBX21_direct_+/+		1
region:chr12:128823755-128824255	chr12:128823755-128824255	region	TBX21_direct_+/+		1
region:chr12:6534964-6535464	chr12:6534964-6535464	region	FOXO1_direct_-/+		1
region:chr12:6557952-6558452	chr12:6557952-6558452	region	FOXO1_direct_-/+		1
region:chr12:6606216-6606716	chr12:6606216-6606716	region	FOXO1_direct_-/+		1
region:chr12:68119657-68120157	chr12:68119657-68120157	region	TBX21_direct_+/+		1
region:chr13:23980053-23980553	chr13:23980053-23980553	region	FOXO1_direct_-/+		1
region:chr13:46160431-46160931	chr13:46160431-46160931	region	LEF1_direct_-/-		1
region:chr14:105398280-105398780	chr14:105398280-105398780	region	FOXO1_direct_-/+		1
region:chr14:24609620-24610120	chr14:24609620-24610120	region	TBX21_direct_+/+		1
region:chr14:24680639-24681139	chr14:24680639-24681139	region	TBX21_direct_+/+		1
region:chr14:24692945-24693445	chr14:24692945-24693445	region	TBX21_direct_+/+		1
region:chr15:60548003-60548503	chr15:60548003-60548503	region	LEF1_direct_-/-;TCF7_direct_-/-		1
region:chr15:90539753-90540253	chr15:90539753-90540253	region	LEF1_direct_-/-;TCF7_direct_-/-		1
region:chr15:90561908-90562408	chr15:90561908-90562408	region	TCF7_direct_-/-		1
region:chr16:11556890-11557390	chr16:11556890-11557390	region	RUNX3_direct_+/+		1
region:chr16:11572188-11572688	chr16:11572188-11572688	region	RUNX3_direct_+/+		1
region:chr16:30186707-30187207	chr16:30186707-30187207	region	RUNX3_direct_+/+		1
region:chr16:57669266-57669766	chr16:57669266-57669766	region	TBX21_direct_+/+		1
region:chr16:57720202-57720702	chr16:57720202-57720702	region	TBX21_direct_+/+		1
region:chr16:85448740-85449240	chr16:85448740-85449240	region	LEF1_direct_-/-;TCF7_direct_-/-		1
region:chr16:87754523-87755023	chr16:87754523-87755023	region	RUNX3_direct_+/+		1
region:chr16:87762124-87762624	chr16:87762124-87762624	region	RUNX3_direct_+/+		1
region:chr16:87865795-87866295	chr16:87865795-87866295	region	RUNX3_direct_+/+		1
region:chr16:88681670-88682170	chr16:88681670-88682170	region	LEF1_direct_-/-		1
region:chr17:35890652-35891152	chr17:35890652-35891152	region	RUNX3_direct_+/+;TBX21_direct_+/+		1
region:chr17:35896221-35896721	chr17:35896221-35896721	region	RUNX3_direct_+/+;TBX21_direct_+/+		1
region:chr17:35900216-35900716	chr17:35900216-35900716	region	RUNX3_direct_+/+		1
region:chr17:35900797-35901297	chr17:35900797-35901297	region	TBX21_direct_+/+		1
region:chr17:47700691-47701191	chr17:47700691-47701191	region	TBX21_direct_+/+		1
region:chr17:47703031-47703531	chr17:47703031-47703531	region	TBX21_direct_+/+		1
region:chr17:47714490-47714990	chr17:47714490-47714990	region	TBX21_direct_+/+		1
region:chr17:47730632-47731132	chr17:47730632-47731132	region	TBX21_direct_+/+		1
region:chr17:47810176-47810676	chr17:47810176-47810676	region	TBX21_direct_+/+		1
region:chr17:75435885-75436385	chr17:75435885-75436385	region	RUNX3_direct_+/+		1
region:chr17:75535010-75535510	chr17:75535010-75535510	region	RUNX3_direct_+/+		1
region:chr17:80471870-80472370	chr17:80471870-80472370	region	FOXO1_direct_-/+		1
region:chr19:1174041-1174541	chr19:1174041-1174541	region	FOXO1_direct_-/+		1
region:chr19:1259152-1259652	chr19:1259152-1259652	region	FOXO1_direct_-/+		1
region:chr19:1265749-1266249	chr19:1265749-1266249	region	FOXO1_direct_-/+		1
region:chr19:45406258-45406758	chr19:45406258-45406758	region	LEF1_direct_-/-		1
region:chr19:45558317-45558817	chr19:45558317-45558817	region	LEF1_direct_-/-		1
region:chr19:543724-544224	chr19:543724-544224	region	RUNX3_direct_+/+		1
region:chr19:575182-575682	chr19:575182-575682	region	RUNX3_direct_+/+		1
region:chr19:8610433-8610933	chr19:8610433-8610933	region	LEF1_direct_-/-;TCF7_direct_-/-		1
region:chr1:158924657-158925157	chr1:158924657-158925157	region	TBX21_direct_+/+		1
region:chr1:158978682-158979182	chr1:158978682-158979182	region	TBX21_direct_+/+		1
region:chr1:159008702-159009202	chr1:159008702-159009202	region	TBX21_direct_+/+		1
region:chr1:161013564-161014064	chr1:161013564-161014064	region	FOXO1_direct_-/+		1
region:chr1:161069702-161070202	chr1:161069702-161070202	region	FOXO1_direct_-/+		1
region:chr1:161185241-161185741	chr1:161185241-161185741	region	FOXO1_direct_-/+		1
region:chr1:161209741-161210241	chr1:161209741-161210241	region	FOXO1_direct_-/+		1
region:chr1:161216834-161217334	chr1:161216834-161217334	region	FOXO1_direct_-/+		1
region:chr1:161217714-161218214	chr1:161217714-161218214	region	FOXO1_direct_-/+		1
region:chr1:162400722-162401222	chr1:162400722-162401222	region	RUNX3_direct_+/+		1
region:chr1:162548132-162548632	chr1:162548132-162548632	region	RUNX3_direct_+/+		1
region:chr1:168410346-168410846	chr1:168410346-168410846	region	TBX21_direct_+/+		1
region:chr1:168421375-168421875	chr1:168421375-168421875	region	TBX21_direct_+/+		1
region:chr1:168513213-168513713	chr1:168513213-168513713	region	TBX21_direct_+/+		1
region:chr1:168520190-168520690	chr1:168520190-168520690	region	TBX21_direct_+/+		1
region:chr1:168543807-168544307	chr1:168543807-168544307	region	TBX21_direct_+/+		1
region:chr1:168553921-168554421	chr1:168553921-168554421	region	TBX21_direct_+/+		1
region:chr1:168576232-168576732	chr1:168576232-168576732	region	TBX21_direct_+/+		1
region:chr1:21294425-21294925	chr1:21294425-21294925	region	LEF1_direct_-/-		1
region:chr1:223716505-223717005	chr1:223716505-223717005	region	FOXO1_direct_-/+		1
region:chr1:24914103-24914603	chr1:24914103-24914603	region	RUNX3_direct_+/+		1
region:chr1:25099653-25100153	chr1:25099653-25100153	region	RUNX3_direct_+/+		1
region:chr1:26169620-26170120	chr1:26169620-26170120	region	FOXO1_direct_-/+		1
region:chr1:26278839-26279339	chr1:26278839-26279339	region	FOXO1_direct_-/+		1
region:chr1:26314281-26314781	chr1:26314281-26314781	region	FOXO1_direct_-/+		1
region:chr1:39995924-39996424	chr1:39995924-39996424	region	FOXO1_direct_-/+		1
region:chr1:40186400-40186900	chr1:40186400-40186900	region	RUNX3_direct_+/+		1
region:chr1:91533558-91534058	chr1:91533558-91534058	region	TBX21_direct_+/+		1
region:chr1:91548264-91548764	chr1:91548264-91548764	region	TBX21_direct_+/+		1
region:chr1:91555909-91556409	chr1:91555909-91556409	region	TBX21_direct_+/+		1
region:chr1:91731356-91731856	chr1:91731356-91731856	region	TBX21_direct_+/+		1
region:chr1:91876024-91876524	chr1:91876024-91876524	region	TBX21_direct_+/+		1
region:chr1:91948431-91948931	chr1:91948431-91948931	region	TBX21_direct_+/+		1
region:chr22:37149846-37150346	chr22:37149846-37150346	region	TBX21_direct_+/+		1
region:chr22:37158672-37159172	chr22:37158672-37159172	region	TBX21_direct_+/+		1
region:chr22:37162501-37163001	chr22:37162501-37163001	region	TBX21_direct_+/+		1
region:chr22:37164107-37164607	chr22:37164107-37164607	region	RUNX3_direct_+/+;TBX21_direct_+/+		2
region:chr22:37229952-37230452	chr22:37229952-37230452	region	RUNX3_direct_+/+;TBX21_direct_+/+		2
region:chr22:37279385-37279885	chr22:37279385-37279885	region	RUNX3_direct_+/+;TBX21_direct_+/+		2
