tf	target	region	eregulon	gene_signature	region_signature	is_extended	regulation	importance_tf2g	rho_tf2g	importance_r2g	rho_r2g	triplet_rank	evidence_type
BCL11A	PHACTR1	chr6:13397230-13397730	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	2.478054344814669	0.287834910684579	0.0544232959288759	0.3180185762035369	1166	scenicplus_eregulon_direct
BCL11A	RALGPS2	chr1:178575738-178576238	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	6.884263188113169	0.589415015136756	0.0978982867104429	0.6959317643276228	260	scenicplus_eregulon_direct
BCL11A	PTK2	chr8:141096440-141096940	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	2.783259087852198	0.2553447608852655	0.0301475226947402	0.2851550822595407	5857	scenicplus_eregulon_direct
BCL11A	EBF1	chr5:158676611-158677111	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	5.486612125410761	0.6132264314216713	0.0238898278431733	0.874876801335472	589	scenicplus_eregulon_direct
BCL11A	FCRLA	chr1:161739807-161740307	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	2.550529981422221	0.3871231561908355	0.0455521770884466	0.299668981288529	1650	scenicplus_eregulon_direct
BCL11A	KCNIP2	chr10:101840636-101841136	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	1.5164000499634722	0.1454555238628479	0.047267353701712	0.0751610637782218	5697	scenicplus_eregulon_direct
BCL11A	REL	chr2:60927077-60927577	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	1.5167529431002296	0.2407299001912575	0.0232643648876812	0.3154185768030322	12451	scenicplus_eregulon_direct
BCL11A	KMO	chr1:241551972-241552472	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	2.476446633994052	0.2802094579256321	0.0892218818189651	0.3158347314089864	2228	scenicplus_eregulon_direct
BCL11A	RHBDD1	chr2:226875372-226875872	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	2.198749010085668	0.1526485358759532	0.0322413432874492	0.1093282328555361	10878	scenicplus_eregulon_direct
BCL11A	TRAK1	chr3:42369165-42369665	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	1.44171557496751	0.2516822282395531	0.0386297514532417	0.2828375070127465	4487	scenicplus_eregulon_direct
BCL11A	TCF4	chr18:55376347-55376847	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	3.959107254550636	0.514870001215602	0.0387655301342657	0.6432480227872769	3914	scenicplus_eregulon_direct
BCL11A	CDK14	chr7:90600139-90600639	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	3.845737810262482	0.5002499175856809	0.0399455782281835	0.5985788696464874	2612	scenicplus_eregulon_direct
BCL11A	PIP5K1B	chr9:68704944-68705444	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	3.646896992004367	0.3700897603204051	0.0743537602026312	0.4686741865266641	2448	scenicplus_eregulon_direct
BCL11A	ZDHHC14	chr6:157557441-157557941	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	1.8621543237486515	0.2093910956660541	0.0145824424702585	0.2450448513587012	11404	scenicplus_eregulon_direct
BCL11A	PHACTR1	chr6:13337914-13338414	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	2.478054344814669	0.287834910684579	0.0398228685453701	0.3235538441731214	9195	scenicplus_eregulon_direct
BCL11A	QRSL1	chr6:106628719-106629219	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	1.4281268569147665	0.1754877366917895	0.0347245220634392	0.1527675219192773	5633	scenicplus_eregulon_direct
BCL11A	MS4A1	chr11:60310753-60311253	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	6.289024179870056	0.6743423828724308	0.0553537549222284	0.8185203324074878	653	scenicplus_eregulon_direct
BCL11A	HLA-DRA	chr6:32437334-32437834	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	3.8913832788012575	0.5400810722110608	0.1039974759702898	0.5798889317177497	193	scenicplus_eregulon_direct
BCL11A	TBC1D5	chr3:18223514-18224014	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	2.913367688440344	0.2080556152159972	0.0153638614466865	0.2161190743784777	4446	scenicplus_eregulon_direct
BCL11A	PIK3AP1	chr10:96703367-96703867	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	1.3446300697852749	0.2905654266923859	0.0178578202636956	0.4994344900564981	11150	scenicplus_eregulon_direct
BCL11A	TNFRSF13C	chr22:41933899-41934399	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	4.23591044219033	0.4273283987420798	0.0260760916225987	0.4046306360232475	4603	scenicplus_eregulon_direct
BCL11A	MARCH1	chr4:163591626-163592126	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	3.890531295134711	0.566741761473926	0.0423736676932967	0.8482401810468372	2803	scenicplus_eregulon_direct
BCL11A	HVCN1	chr12:110669029-110669529	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	4.049663895014688	0.4843197602923683	0.0377332087453026	0.2238569233418621	3986	scenicplus_eregulon_direct
BCL11A	ITPR1	chr3:4984030-4984530	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	4.774762325471312	0.3668044826504607	0.0252382438490119	0.0968425314243856	1857	scenicplus_eregulon_direct
BCL11A	ZNF821	chr16:71900187-71900687	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	1.3209477288755154	0.1395420269950171	0.0304292961180695	0.152469262682265	12003	scenicplus_eregulon_direct
BCL11A	DYM	chr18:49055844-49056344	BCL11A_direct_+/+	BCL11A_direct_+/+_(275g)	BCL11A_direct_+/+_(581r)	False	1	1.3279190405237005	0.0925675194306852	0.0183209616279139	0.0892382553679217	11081	scenicplus_eregulon_direct
