id	label	node_type	eregulons	detected_fraction	n_targets
TF:KLF4	KLF4	tf	KLF4_direct_+/+	0.7475083056478434	20
TF:RXRA	RXRA	tf	RXRA_direct_+/+	0.6411960132890387	20
TF:SPI1	SPI1	tf	SPI1_direct_+/+;SPI1_direct_+/-	0.8571428571428608	20
TF:TCF7L2	TCF7L2	tf	TCF7L2_direct_+/+	0.976744186046516	20
region:chr10:112852203-112852703	chr10:112852203-112852703	region	TCF7L2_direct_+/+		1
region:chr10:113099549-113100049	chr10:113099549-113100049	region	TCF7L2_direct_+/+		1
region:chr10:113153678-113154178	chr10:113153678-113154178	region	TCF7L2_direct_+/+		1
region:chr10:113273396-113273896	chr10:113273396-113273896	region	TCF7L2_direct_+/+		1
region:chr10:19816522-19817022	chr10:19816522-19817022	region	SPI1_direct_+/+		1
region:chr10:19819320-19819820	chr10:19819320-19819820	region	SPI1_direct_+/+		1
region:chr10:19825121-19825621	chr10:19825121-19825621	region	SPI1_direct_+/+		1
region:chr10:19825695-19826195	chr10:19825695-19826195	region	SPI1_direct_+/+		1
region:chr10:20003617-20004117	chr10:20003617-20004117	region	SPI1_direct_+/+		1
region:chr10:20202238-20202738	chr10:20202238-20202738	region	KLF4_direct_+/+;SPI1_direct_+/+		1
region:chr10:71701443-71701943	chr10:71701443-71701943	region	SPI1_direct_+/+		1
region:chr10:71727474-71727974	chr10:71727474-71727974	region	SPI1_direct_+/-		1
region:chr10:71753471-71753971	chr10:71753471-71753971	region	SPI1_direct_+/+		1
region:chr10:71805784-71806284	chr10:71805784-71806284	region	SPI1_direct_+/+		1
region:chr10:71851075-71851575	chr10:71851075-71851575	region	SPI1_direct_+/-		1
region:chr10:71852434-71852934	chr10:71852434-71852934	region	SPI1_direct_+/+		1
region:chr10:71868063-71868563	chr10:71868063-71868563	region	SPI1_direct_+/+		1
region:chr10:71889975-71890475	chr10:71889975-71890475	region	SPI1_direct_+/+		1
region:chr10:75358919-75359419	chr10:75358919-75359419	region	SPI1_direct_+/+		1
region:chr10:75375814-75376314	chr10:75375814-75376314	region	SPI1_direct_+/+		1
region:chr10:75402095-75402595	chr10:75402095-75402595	region	SPI1_direct_+/+		1
region:chr10:75431500-75432000	chr10:75431500-75432000	region	SPI1_direct_+/+		1
region:chr10:75612801-75613301	chr10:75612801-75613301	region	SPI1_direct_+/+		1
region:chr10:76403798-76404298	chr10:76403798-76404298	region	SPI1_direct_+/+		1
region:chr11:10400860-10401360	chr11:10400860-10401360	region	RXRA_direct_+/+		1
region:chr11:47244893-47245393	chr11:47244893-47245393	region	TCF7L2_direct_+/+		1
region:chr11:47257590-47258090	chr11:47257590-47258090	region	SPI1_direct_+/+		1
region:chr11:47268979-47269479	chr11:47268979-47269479	region	SPI1_direct_+/-		1
region:chr11:47359497-47359997	chr11:47359497-47359997	region	SPI1_direct_+/+		1
region:chr11:47378336-47378836	chr11:47378336-47378836	region	SPI1_direct_+/+;TCF7L2_direct_+/+		1
region:chr11:47388046-47388546	chr11:47388046-47388546	region	SPI1_direct_+/+		1
region:chr11:47390969-47391469	chr11:47390969-47391469	region	SPI1_direct_+/+		1
region:chr11:47392861-47393361	chr11:47392861-47393361	region	SPI1_direct_+/+		1
region:chr11:47394637-47395137	chr11:47394637-47395137	region	SPI1_direct_+/+		1
region:chr11:47400128-47400628	chr11:47400128-47400628	region	SPI1_direct_+/-		1
region:chr11:47408196-47408696	chr11:47408196-47408696	region	SPI1_direct_+/-		1
region:chr11:47508910-47509410	chr11:47508910-47509410	region	SPI1_direct_+/+		1
region:chr11:60242704-60243204	chr11:60242704-60243204	region	TCF7L2_direct_+/+		1
region:chr11:60280315-60280815	chr11:60280315-60280815	region	TCF7L2_direct_+/+		1
region:chr11:60389449-60389949	chr11:60389449-60389949	region	TCF7L2_direct_+/+		1
region:chr11:60392366-60392866	chr11:60392366-60392866	region	TCF7L2_direct_+/+		1
region:chr11:63871967-63872467	chr11:63871967-63872467	region	KLF4_direct_+/+		1
region:chr11:93541711-93542211	chr11:93541711-93542211	region	TCF7L2_direct_+/+		1
region:chr12:123432529-123433029	chr12:123432529-123433029	region	KLF4_direct_+/+		1
region:chr12:51242065-51242565	chr12:51242065-51242565	region	RXRA_direct_+/+		1
region:chr12:51246225-51246725	chr12:51246225-51246725	region	RXRA_direct_+/+		1
region:chr12:66072019-66072519	chr12:66072019-66072519	region	SPI1_direct_+/+		1
region:chr12:66144946-66145446	chr12:66144946-66145446	region	SPI1_direct_+/+		1
region:chr12:66169635-66170135	chr12:66169635-66170135	region	SPI1_direct_+/-		1
region:chr12:66187788-66188288	chr12:66187788-66188288	region	KLF4_direct_+/+;SPI1_direct_+/+		1
region:chr12:66241538-66242038	chr12:66241538-66242038	region	SPI1_direct_+/+		1
region:chr12:66268511-66269011	chr12:66268511-66269011	region	SPI1_direct_+/+		1
region:chr12:66388441-66388941	chr12:66388441-66388941	region	SPI1_direct_+/+		1
region:chr12:7948800-7949300	chr12:7948800-7949300	region	TCF7L2_direct_+/+		1
region:chr12:8052638-8053138	chr12:8052638-8053138	region	TCF7L2_direct_+/+		1
region:chr12:8070610-8071110	chr12:8070610-8071110	region	TCF7L2_direct_+/+		1
region:chr12:8156769-8157269	chr12:8156769-8157269	region	TCF7L2_direct_+/+		1
region:chr12:89333798-89334298	chr12:89333798-89334298	region	SPI1_direct_+/+		1
region:chr12:89352334-89352834	chr12:89352334-89352834	region	SPI1_direct_+/+		1
region:chr13:51562079-51562579	chr13:51562079-51562579	region	SPI1_direct_+/+		1
region:chr13:51793790-51794290	chr13:51793790-51794290	region	SPI1_direct_+/+		1
region:chr14:100221449-100221949	chr14:100221449-100221949	region	SPI1_direct_+/-		1
region:chr14:100341266-100341766	chr14:100341266-100341766	region	SPI1_direct_+/+		1
region:chr14:100373676-100374176	chr14:100373676-100374176	region	SPI1_direct_+/+;TCF7L2_direct_+/+		1
region:chr14:100375224-100375724	chr14:100375224-100375724	region	RXRA_direct_+/+;SPI1_direct_+/+		1
region:chr14:22822603-22823103	chr14:22822603-22823103	region	TCF7L2_direct_+/+		1
region:chr14:22823184-22823684	chr14:22823184-22823684	region	TCF7L2_direct_+/+		1
region:chr14:75268800-75269300	chr14:75268800-75269300	region	KLF4_direct_+/+		1
region:chr14:92677190-92677690	chr14:92677190-92677690	region	RXRA_direct_+/+		1
region:chr14:92680997-92681497	chr14:92680997-92681497	region	RXRA_direct_+/+		1
region:chr14:94384841-94385341	chr14:94384841-94385341	region	SPI1_direct_+/+		1
region:chr14:94392476-94392976	chr14:94392476-94392976	region	SPI1_direct_+/+		1
region:chr14:94394565-94395065	chr14:94394565-94395065	region	SPI1_direct_+/+		1
region:chr16:12543995-12544495	chr16:12543995-12544495	region	SPI1_direct_+/+		1
region:chr16:12573234-12573734	chr16:12573234-12573734	region	SPI1_direct_+/+		1
region:chr16:12816713-12817213	chr16:12816713-12817213	region	SPI1_direct_+/+		1
region:chr16:17259248-17259748	chr16:17259248-17259748	region	RXRA_direct_+/+		1
region:chr16:17343666-17344166	chr16:17343666-17344166	region	RXRA_direct_+/+		1
region:chr16:17416566-17417066	chr16:17416566-17417066	region	RXRA_direct_+/+		1
region:chr16:84569534-84570034	chr16:84569534-84570034	region	SPI1_direct_+/+		1
region:chr16:84594103-84594603	chr16:84594103-84594603	region	SPI1_direct_+/-		1
region:chr16:84600698-84601198	chr16:84600698-84601198	region	SPI1_direct_+/+		1
region:chr16:84602956-84603456	chr16:84602956-84603456	region	SPI1_direct_+/+		1
region:chr16:84726038-84726538	chr16:84726038-84726538	region	SPI1_direct_+/+		1
region:chr16:84742524-84743024	chr16:84742524-84743024	region	SPI1_direct_+/+		1
region:chr16:84751977-84752477	chr16:84751977-84752477	region	SPI1_direct_+/+		1
region:chr17:21285899-21286399	chr17:21285899-21286399	region	RXRA_direct_+/+		1
region:chr17:59847694-59848194	chr17:59847694-59848194	region	KLF4_direct_+/+		1
region:chr17:74520125-74520625	chr17:74520125-74520625	region	TCF7L2_direct_+/+		1
region:chr17:74599430-74599930	chr17:74599430-74599930	region	TCF7L2_direct_+/+		1
region:chr17:74631809-74632309	chr17:74631809-74632309	region	TCF7L2_direct_+/+		1
region:chr17:78778872-78779372	chr17:78778872-78779372	region	RXRA_direct_+/+		1
region:chr18:10004997-10005497	chr18:10004997-10005497	region	SPI1_direct_+/+		1
region:chr18:9712523-9713023	chr18:9712523-9713023	region	SPI1_direct_+/+		1
region:chr18:9753868-9754368	chr18:9753868-9754368	region	SPI1_direct_+/+		1
region:chr18:9762463-9762963	chr18:9762463-9762963	region	SPI1_direct_+/+		1
region:chr18:9771103-9771603	chr18:9771103-9771603	region	SPI1_direct_+/+		1
