id	label	node_type	eregulons	detected_fraction	n_targets
TF:BCL11A	BCL11A	tf	BCL11A_direct_+/+	0.7490636704119864	20
TF:POU2AF1	POU2AF1	tf	POU2AF1_direct_+/+	0.33333333333333376	20
TF:SPIB	SPIB	tf	SPIB_direct_+/+;SPIB_direct_+/-	0.3595505617977533	20
region:chr10:48634242-48634742	chr10:48634242-48634742	region	BCL11A_direct_+/+		1
region:chr10:48672264-48672764	chr10:48672264-48672764	region	POU2AF1_direct_+/+		1
region:chr10:48802488-48802988	chr10:48802488-48802988	region	BCL11A_direct_+/+		1
region:chr10:96211892-96212392	chr10:96211892-96212392	region	BCL11A_direct_+/+		1
region:chr10:96229458-96229958	chr10:96229458-96229958	region	BCL11A_direct_+/+		1
region:chr10:96273297-96273797	chr10:96273297-96273797	region	BCL11A_direct_+/+		1
region:chr11:60310753-60311253	chr11:60310753-60311253	region	BCL11A_direct_+/+		1
region:chr11:60396702-60397202	chr11:60396702-60397202	region	BCL11A_direct_+/+		1
region:chr11:60455452-60455952	chr11:60455452-60455952	region	BCL11A_direct_+/+		1
region:chr11:60482324-60482824	chr11:60482324-60482824	region	BCL11A_direct_+/+		1
region:chr11:60528911-60529411	chr11:60528911-60529411	region	BCL11A_direct_+/+		1
region:chr11:72738078-72738578	chr11:72738078-72738578	region	POU2AF1_direct_+/+		1
region:chr12:26156176-26156676	chr12:26156176-26156676	region	POU2AF1_direct_+/+		1
region:chr12:31362987-31363487	chr12:31362987-31363487	region	SPIB_direct_+/+		1
region:chr12:31687059-31687559	chr12:31687059-31687559	region	SPIB_direct_+/+		1
region:chr12:79689927-79690427	chr12:79689927-79690427	region	SPIB_direct_+/+		1
region:chr12:9731705-9732205	chr12:9731705-9732205	region	SPIB_direct_+/+		1
region:chr12:9761300-9761800	chr12:9761300-9761800	region	SPIB_direct_+/-		1
region:chr12:9764703-9765203	chr12:9764703-9765203	region	SPIB_direct_+/-		1
region:chr12:9810621-9811121	chr12:9810621-9811121	region	SPIB_direct_+/+		1
region:chr15:70036555-70037055	chr15:70036555-70037055	region	POU2AF1_direct_+/+		1
region:chr15:70196558-70197058	chr15:70196558-70197058	region	POU2AF1_direct_+/+		1
region:chr16:28923935-28924435	chr16:28923935-28924435	region	SPIB_direct_+/+		1
region:chr16:28930696-28931196	chr16:28930696-28931196	region	SPIB_direct_+/+		1
region:chr17:63922341-63922841	chr17:63922341-63922841	region	BCL11A_direct_+/+		1
region:chr17:63925517-63926017	chr17:63925517-63926017	region	BCL11A_direct_+/+		1
region:chr17:63932152-63932652	chr17:63932152-63932652	region	POU2AF1_direct_+/+		1
region:chr17:63954302-63954802	chr17:63954302-63954802	region	BCL11A_direct_+/+		1
region:chr19:16259776-16260276	chr19:16259776-16260276	region	POU2AF1_direct_+/+		1
region:chr19:16445337-16445837	chr19:16445337-16445837	region	POU2AF1_direct_+/+		1
region:chr19:17523127-17523627	chr19:17523127-17523627	region	BCL11A_direct_+/+		1
region:chr19:17526950-17527450	chr19:17526950-17527450	region	BCL11A_direct_+/+		1
region:chr19:2486081-2486581	chr19:2486081-2486581	region	POU2AF1_direct_+/+		1
region:chr19:35330437-35330937	chr19:35330437-35330937	region	POU2AF1_direct_+/+		1
region:chr19:35458879-35459379	chr19:35458879-35459379	region	BCL11A_direct_+/+		1
region:chr19:50330707-50331207	chr19:50330707-50331207	region	SPIB_direct_+/+		1
region:chr19:50415547-50416047	chr19:50415547-50416047	region	SPIB_direct_+/+		1
region:chr19:50419633-50420133	chr19:50419633-50420133	region	SPIB_direct_+/+		1
region:chr19:50430957-50431457	chr19:50430957-50431457	region	SPIB_direct_+/+		1
region:chr1:157704709-157705209	chr1:157704709-157705209	region	BCL11A_direct_+/+		1
region:chr1:157726745-157727245	chr1:157726745-157727245	region	POU2AF1_direct_+/+		1
region:chr1:157773806-157774306	chr1:157773806-157774306	region	SPIB_direct_+/+		1
region:chr1:157803787-157804287	chr1:157803787-157804287	region	SPIB_direct_+/+		1
region:chr1:157806725-157807225	chr1:157806725-157807225	region	BCL11A_direct_+/+;SPIB_direct_+/+		2
region:chr1:157819885-157820385	chr1:157819885-157820385	region	BCL11A_direct_+/+;SPIB_direct_+/+		2
region:chr1:157849453-157849953	chr1:157849453-157849953	region	SPIB_direct_+/+		1
region:chr1:159068150-159068650	chr1:159068150-159068650	region	POU2AF1_direct_+/+		1
region:chr1:160432329-160432829	chr1:160432329-160432829	region	POU2AF1_direct_+/+		1
region:chr1:161706840-161707340	chr1:161706840-161707340	region	SPIB_direct_+/+		1
region:chr1:161738889-161739389	chr1:161738889-161739389	region	SPIB_direct_+/+		1
region:chr1:161739807-161740307	chr1:161739807-161740307	region	SPIB_direct_+/+		1
region:chr1:175225417-175225917	chr1:175225417-175225917	region	POU2AF1_direct_+/+		1
region:chr1:178575738-178576238	chr1:178575738-178576238	region	BCL11A_direct_+/+;SPIB_direct_+/+		1
region:chr1:178579558-178580058	chr1:178579558-178580058	region	SPIB_direct_+/+		1
region:chr1:178581260-178581760	chr1:178581260-178581760	region	POU2AF1_direct_+/+		1
region:chr1:178726143-178726643	chr1:178726143-178726643	region	SPIB_direct_+/+		1
region:chr22:24401124-24401624	chr22:24401124-24401624	region	SPIB_direct_+/+		1
region:chr22:24555590-24556090	chr22:24555590-24556090	region	SPIB_direct_+/-		1
region:chr22:24607341-24607841	chr22:24607341-24607841	region	SPIB_direct_+/+		1
region:chr22:41925347-41925847	chr22:41925347-41925847	region	SPIB_direct_+/+		1
region:chr22:41952036-41952536	chr22:41952036-41952536	region	SPIB_direct_+/+		1
region:chr22:42022400-42022900	chr22:42022400-42022900	region	SPIB_direct_+/+		1
region:chr2:100113996-100114496	chr2:100113996-100114496	region	BCL11A_direct_+/+;SPIB_direct_+/+		1
region:chr2:100142369-100142869	chr2:100142369-100142869	region	BCL11A_direct_+/+;SPIB_direct_+/+		1
region:chr2:100235049-100235549	chr2:100235049-100235549	region	BCL11A_direct_+/+;SPIB_direct_+/+		1
region:chr2:100247477-100247977	chr2:100247477-100247977	region	BCL11A_direct_+/+;SPIB_direct_+/+		1
region:chr2:17749778-17750278	chr2:17749778-17750278	region	SPIB_direct_+/+		1
region:chr2:17804382-17804882	chr2:17804382-17804882	region	SPIB_direct_+/+		1
region:chr2:60317805-60318305	chr2:60317805-60318305	region	BCL11A_direct_+/+		1
region:chr2:60350837-60351337	chr2:60350837-60351337	region	BCL11A_direct_+/+		1
region:chr2:99928403-99928903	chr2:99928403-99928903	region	SPIB_direct_+/+		1
region:chr3:129282639-129283139	chr3:129282639-129283139	region	SPIB_direct_+/+		1
