source	target	interaction	eregulons	importance	rho
TF:BACH2	region:chr10:119596581-119597081	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr11:62621924-62622424	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr11:85664868-85665368	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr12:31728851-31729351	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr14:68793068-68793568	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr15:93028563-93029063	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr16:27367453-27367953	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr17:40560776-40561276	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr19:4051742-4052242	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr19:4058233-4058733	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr22:39961385-39961885	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr2:136008089-136008589	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr2:136242674-136243174	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr3:71226730-71227230	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr4:26857340-26857840	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr5:65035771-65036271	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr6:12011122-12011622	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr6:158031299-158031799	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr6:31619997-31620497	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr6:90397866-90398366	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr7:66075544-66076044	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr7:66493430-66493930	tf_binds_region	BACH2_direct_+/-		
TF:BACH2	region:chr8:27351678-27352178	tf_binds_region	BACH2_direct_+/-		
TF:KLF6	region:chr13:40666957-40667457	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr15:34366186-34366686	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr15:90388536-90389036	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr17:40480463-40480963	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr17:40564225-40564725	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr17:78186938-78187438	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr1:44674121-44674621	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr1:44809429-44809929	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr20:20712528-20713028	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr20:21125715-21126215	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr3:71063839-71064339	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr6:161273877-161274377	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr8:8228247-8228747	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chr9:125746390-125746890	tf_binds_region	KLF6_direct_-/-		
TF:KLF6	region:chrX:53082008-53082508	tf_binds_region	KLF6_direct_-/-		
TF:LEF1	region:chr11:14768571-14769071	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr11:96016106-96016606	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr11:96105556-96106056	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr11:96278465-96278965	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr15:28876162-28876662	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr15:28890755-28891255	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr15:98649378-98649878	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr15:98650993-98651493	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr17:40533368-40533868	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr17:40547342-40547842	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr17:40597110-40597610	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr17:66331099-66331599	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr17:66673599-66674099	tf_binds_region	LEF1_direct_+/+		
TF:LEF1	region:chr2:224764506-224765006	tf_binds_region	LEF1_direct_+/+		
