tf	target	region	eregulon	gene_signature	region_signature	is_extended	regulation	importance_tf2g	rho_tf2g	importance_r2g	rho_r2g	triplet_rank	evidence_type
BCL11B	TNRC6B	chr22:39993942-39994442	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.5705844184229405	0.1543463035861417	0.0148813135585275	0.232332228442765	5958	scenicplus_eregulon_extended
BCL11B	EEF1D	chr8:143461759-143462259	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	3.5621704313155367	0.1901504276156827	0.0557570816663796	0.2167372690262304	1408	scenicplus_eregulon_extended
BCL11B	TNIK	chr3:171480447-171480947	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	6.077864072018256	0.2777563137932238	0.0686800327749298	0.3086359031243104	331	scenicplus_eregulon_extended
BCL11B	SKP1	chr5:134110356-134110856	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.966562610072485	0.1775801620534832	0.0143528720508742	0.2071125898030756	4713	scenicplus_eregulon_extended
BCL11B	PTPN4	chr2:119929449-119929949	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.8572107997120693	0.127756066213848	0.0936383154717136	0.2467808954750866	2106	scenicplus_eregulon_extended
BCL11B	TMSB10	chr2:84908807-84909307	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.277323687122419	0.178632728084129	0.0475701407055629	0.1530257020671578	2656	scenicplus_eregulon_extended
BCL11B	GIMAP2	chr7:150668377-150668877	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.3435092009248024	0.0976644511402113	0.0329826029759739	0.0630297242197354	3512	scenicplus_eregulon_extended
BCL11B	CYTH1	chr17:78785227-78785727	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	3.090011528241431	0.1529112842132214	0.0293830030334949	0.1616822166109902	1774	scenicplus_eregulon_extended
BCL11B	ABLIM1	chr10:114538354-114538854	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	2.365780214957507	0.2799544009219707	0.0582211748526195	0.4475136167581265	2289	scenicplus_eregulon_extended
BCL11B	STAT4	chr2:191115335-191115835	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	3.585037235466909	0.2320324697870859	0.034715921240653	0.3389978212150415	3145	scenicplus_eregulon_extended
BCL11B	ATP8B2	chr1:154385483-154385983	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	2.315595859674149	0.1463655280350418	0.0185022443949246	0.0906129022551146	4481	scenicplus_eregulon_extended
BCL11B	MPZL3	chr11:118339292-118339792	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	2.2077284828380805	0.1073950834814194	0.0200348616136572	0.0775478685434325	3792	scenicplus_eregulon_extended
BCL11B	PURA	chr5:140266927-140267427	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.825236280069031	0.0894876304881461	0.0380168263434839	0.0773636135279361	2081	scenicplus_eregulon_extended
BCL11B	SNRK	chr3:43346899-43347399	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.5119667740629383	0.1203459834192877	0.0392766188785949	0.1163026726430873	2489	scenicplus_eregulon_extended
BCL11B	FBL	chr19:39893532-39894032	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.7755722554873108	0.0834820571530074	0.0302637371118395	0.060823154125243	2603	scenicplus_eregulon_extended
BCL11B	SLC16A10	chr6:111088236-111088736	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.9308762204038687	0.2163068059438367	0.0597807439717726	0.30009841053885	2642	scenicplus_eregulon_extended
BCL11B	SEMA4D	chr9:89477741-89478241	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	3.0220615194010567	0.2038000711815455	0.0587767669635582	0.2872990519157705	959	scenicplus_eregulon_extended
BCL11B	TMEM41B	chr11:9250035-9250535	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.722499428685906	0.084302098162173	0.0951386826800947	0.1096102172277849	2003	scenicplus_eregulon_extended
BCL11B	TRERF1	chr6:42417561-42418061	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.7742863043484969	0.1440203786911933	0.0260004845689174	0.1041459082747566	1901	scenicplus_eregulon_extended
BCL11B	FYN	chr6:111836883-111837383	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.8202445634822824	0.176826525517232	0.0278069549949795	0.2451655025046544	5638	scenicplus_eregulon_extended
BCL11B	CATSPERB	chr14:91835778-91836278	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.6479115039576726	0.1166614447473154	0.0482446753927495	0.1178607670029502	1386	scenicplus_eregulon_extended
BCL11B	FAU	chr11:65040883-65041383	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	2.214551181004538	0.2842538071767376	0.0315542452199722	0.1935188345657746	5654	scenicplus_eregulon_extended
BCL11B	ICAM2	chr17:64082001-64082501	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	1.5115640447803258	0.0774314030064015	0.0214169785161972	0.1064709030649871	4735	scenicplus_eregulon_extended
BCL11B	CD96	chr3:111610149-111610649	BCL11B_extended_+/+	BCL11B_extended_+/+_(164g)	BCL11B_extended_+/+_(215r)	True	1	5.036444844679716	0.2974961790585957	0.086287344772031	0.2673729879211991	272	scenicplus_eregulon_extended
