id	label	node_type	eregulons	detected_fraction	n_targets
TF:BCL11A	BCL11A	tf	BCL11A_direct_+/+	0.9565217391304344	20
TF:KLF3	KLF3	tf	KLF3_direct_-/+	0.34782608695652173	8
TF:POU2AF1	POU2AF1	tf	POU2AF1_direct_+/+	0.0	20
TF:SPIB	SPIB	tf	SPIB_direct_+/+	0.8260869565217388	20
TF:ZEB1	ZEB1	tf	ZEB1_direct_-/+	0.6956521739130432	4
region:chr10:48634242-48634742	chr10:48634242-48634742	region	BCL11A_direct_+/+		1
region:chr10:61900114-61900614	chr10:61900114-61900614	region	POU2AF1_direct_+/+		1
region:chr10:96273297-96273797	chr10:96273297-96273797	region	BCL11A_direct_+/+		1
region:chr11:100680993-100681493	chr11:100680993-100681493	region	SPIB_direct_+/+		1
region:chr11:44600926-44601426	chr11:44600926-44601426	region	POU2AF1_direct_+/+		1
region:chr12:103441463-103441963	chr12:103441463-103441963	region	BCL11A_direct_+/+		1
region:chr12:110605593-110606093	chr12:110605593-110606093	region	BCL11A_direct_+/+		1
region:chr12:110661328-110661828	chr12:110661328-110661828	region	BCL11A_direct_+/+		1
region:chr12:110677404-110677904	chr12:110677404-110677904	region	BCL11A_direct_+/+		1
region:chr12:31362987-31363487	chr12:31362987-31363487	region	SPIB_direct_+/+		1
region:chr14:105861937-105862437	chr14:105861937-105862437	region	BCL11A_direct_+/+		1
region:chr14:20427525-20428025	chr14:20427525-20428025	region	ZEB1_direct_-/+		1
region:chr16:4768473-4768973	chr16:4768473-4768973	region	KLF3_direct_-/+		1
region:chr17:7022976-7023476	chr17:7022976-7023476	region	KLF3_direct_-/+		1
region:chr17:7023516-7024016	chr17:7023516-7024016	region	KLF3_direct_-/+		1
region:chr17:7281304-7281804	chr17:7281304-7281804	region	KLF3_direct_-/+		1
region:chr19:12665183-12665683	chr19:12665183-12665683	region	SPIB_direct_+/+		1
region:chr19:12786132-12786632	chr19:12786132-12786632	region	SPIB_direct_+/+		1
region:chr19:12788758-12789258	chr19:12788758-12789258	region	SPIB_direct_+/+		1
region:chr19:16259776-16260276	chr19:16259776-16260276	region	POU2AF1_direct_+/+		2
region:chr19:16445337-16445837	chr19:16445337-16445837	region	POU2AF1_direct_+/+		1
region:chr19:17523127-17523627	chr19:17523127-17523627	region	BCL11A_direct_+/+		1
region:chr19:17526950-17527450	chr19:17526950-17527450	region	BCL11A_direct_+/+		1
region:chr19:2486081-2486581	chr19:2486081-2486581	region	POU2AF1_direct_+/+		1
region:chr19:38265299-38265799	chr19:38265299-38265799	region	SPIB_direct_+/+		1
region:chr19:42129324-42129824	chr19:42129324-42129824	region	BCL11A_direct_+/+		1
region:chr19:49896865-49897365	chr19:49896865-49897365	region	ZEB1_direct_-/+		1
region:chr19:50330707-50331207	chr19:50330707-50331207	region	SPIB_direct_+/+		1
region:chr19:50415547-50416047	chr19:50415547-50416047	region	SPIB_direct_+/+		1
region:chr19:50419633-50420133	chr19:50419633-50420133	region	POU2AF1_direct_+/+;SPIB_direct_+/+		1
region:chr19:50430957-50431457	chr19:50430957-50431457	region	SPIB_direct_+/+		1
